GEOID,county_name,state_name,year,median_home_value_with_mortgage,median_home_value_without_mortgage,pct_homeownership_black
38101,"Ward County, North Dakota",North Dakota,2023,270100,237400,27
49009,"Daggett County, Utah",Utah,2023,243800,240000,0
48113,"Dallas County, Texas",Texas,2023,303200,242900,36.2
13013,"Barrow County, Georgia",Georgia,2023,260000,244800,65.7
16059,"Lemhi County, Idaho",Idaho,2023,291400,247600,0
12091,"Okaloosa County, Florida",Florida,2023,329700,314600,48.6
23015,"Lincoln County, Maine",Maine,2023,295800,327600,100
06019,"Fresno County, California",California,2023,372800,336600,35.8
12119,"Sumter County, Florida",Florida,2023,362100,351500,63.9
37183,"Wake County, North Carolina",North Carolina,2023,429000,401200,45.9
08019,"Clear Creek County, Colorado",Colorado,2023,554800,635500,50.8
48079,"Cochran County, Texas",Texas,2023,89600,42400,60.8
13003,"Atkinson County, Georgia",Georgia,2023,113400,55400,53.9
37015,"Bertie County, North Carolina",North Carolina,2023,121700,72200,70.4
37155,"Robeson County, North Carolina",North Carolina,2023,121300,72700,47.1
20101,"Lane County, Kansas",Kansas,2023,152000,78500,100
17165,"Saline County, Illinois",Illinois,2023,123600,81100,61.8
28133,"Sunflower County, Mississippi",Mississippi,2023,121300,84000,48.7
22049,"Jackson Parish, Louisiana",Louisiana,2023,160900,84100,60.8
45049,"Hampton County, South Carolina",South Carolina,2023,153300,85200,64.6
19117,"Lucas County, Iowa",Iowa,2023,146700,90500,0
18135,"Randolph County, Indiana",Indiana,2023,113600,96800,0
37047,"Columbus County, North Carolina",North Carolina,2023,154800,111200,61.7
05035,"Crittenden County, Arkansas",Arkansas,2023,173900,112100,38.9
42073,"Lawrence County, Pennsylvania",Pennsylvania,2023,155400,115200,36.6
